drift,raw_acc,sig_acc,iso_acc,raw_conf,sig_conf,iso_conf,raw_ent,sig_ent,iso_ent,model
0.0,0.9758084336926371,0.9990519995786664,0.999385555282469,0.9466868234689086,0.9991509334001027,0.9991943343855644,0.1558466787521162,0.0057213045964055,0.003525978336308,LR
0.2,0.9616410940627084,0.9990519995786664,0.9993328885923948,0.9366949235787708,0.999127643484586,0.9990579917815252,0.1701742800274896,0.0058652480536494,0.0042912758067075,LR
0.5,0.8834837259927671,0.9991222218320986,0.9993679997191108,0.9193896029997032,0.9990091499318392,0.997727842053734,0.1924870443145979,0.0066136513560225,0.0099900294236269,LR
1.0,0.759365893051508,0.9991397773954568,0.998806221691654,0.9298672704403192,0.9983050369864576,0.9864299004268444,0.1643776157938143,0.010149752536138,0.0394041730130478,LR
0.0,0.9994908886626171,0.9995084442259752,0.9994908886626171,0.999401004178224,0.9994774068539198,0.9993553538382746,0.0022788663040667,0.0041119072577247,0.0031966397784346,RF
0.2,0.999420666409185,0.999403110845827,0.999403110845827,0.9990713106983604,0.999452962769689,0.9991863228894518,0.0039254408906236,0.0041775381585559,0.0040877718428611,RF
0.5,0.9993504441557528,0.9993679997191108,0.9993504441557528,0.99830343035708,0.999429778589758,0.9987241783804296,0.0080868954778444,0.0042577314241479,0.006525264846702,RF
1.0,0.9991222218320986,0.9991748885221726,0.9991397773954568,0.9954395035286682,0.9993652987992392,0.9967524457600648,0.0231057632420297,0.0045380584003794,0.0170750558242034,RF
0.0,0.9995786664794072,0.9995786664794072,0.9995611109160492,0.99988425,0.99948294977802,0.99949328251408,0.00048563242,0.0038506870555359,0.0030750585295958,XGB
0.2,0.9994908886626171,0.9995435553526912,0.9994908886626171,0.99983215,0.999486157744144,0.999381612475922,0.0006376541,0.0038796960057545,0.0035448819083055,XGB
0.5,0.9992451107756049,0.9993504441557528,0.9992977774656788,0.9997276,0.9994602375915432,0.9991931086371524,0.0009547888,0.0039326895614889,0.0044356755290744,XGB
1.0,0.9990871107053826,0.9991397773954568,0.9991748885221726,0.9995297,0.999453778929968,0.9986798194172688,0.0017620102,0.003952090049634,0.0067056052543403,XGB
