drift_type,drift,raw_acc,raw_conf,raw_ent,model
noise,0.0,0.9995786664794073,0.99988425,0.00048563242,XGB
noise,0.2,0.999403110845827,0.9998109,0.0006671461,XGB
noise,0.5,0.9993679997191109,0.9997281,0.0009383445,XGB
noise,1.0,0.9992099996488887,0.9995954,0.0016483417,XGB
scale,0.0,0.9995786664794073,0.99988425,0.00048563242,XGB
scale,0.2,0.9995786664794073,0.9998867,0.00047524905,XGB
scale,0.5,0.9995435553526912,0.99986297,0.0005499934,XGB
scale,1.0,0.9994908886626171,0.99984163,0.0006320288,XGB
bias,0.0,0.9995786664794073,0.99988425,0.00048563242,XGB
bias,0.2,0.999420666409185,0.99992514,0.00026365436,XGB
bias,0.5,0.999403110845827,0.9999068,0.00024523374,XGB
bias,1.0,0.9993328885923949,0.99991524,0.0002112382,XGB
